name : Popular Nails & Hair,phone : (512) 468-3228,website : NA,"cuisine_type : Nail Salons,Hair Stylists",number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
"name : Notary Insurance Services, Inc",phone : (512) 443-9202,website : notary.us,"cuisine_type : Notary,Legal Services",number_of_reviews : 2,avg_review : 1.0,delivery : NA,takeout : NA,caters : NA
name : Budget Cleaning Services,phone : (512) 293-0981,website : NA,"cuisine_type : Home Cleaning,Office Cleaning",number_of_reviews : 6,avg_review : 5.0,delivery : NA,takeout : NA,caters : NA
name : Kat’s Kustom Cocktails,phone : (512) 839-0790,website : gigsalad.com/kats_kustom_cock…,cuisine_type : Bartenders,number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : AlwaysEco,phone : (855) 259-2973,website : alwayseco.com,cuisine_type : Pest Control,number_of_reviews : 4,avg_review : 3.5,delivery : NA,takeout : NA,caters : NA
name : Blackhorn Buses,phone : (512) 922-0969,website : blackhornbuses.com/index.html,cuisine_type : Buses,number_of_reviews : 2,avg_review : 5.0,delivery : NA,takeout : NA,caters : NA
name : Shelley Moon Photography,phone : (512) 761-5676,website : shelleymoon.com,cuisine_type : Photographers,number_of_reviews : 3,avg_review : 5.0,delivery : NA,takeout : NA,caters : NA
name : Biz Plan Corner,phone : (512) 961-8671,website : bizplancorner.com,cuisine_type : Marketing,number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : Us Government Department Of Treasury,phone : (512) 342-7261,website : NA,cuisine_type : NA,number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : Acceptance Insurance Services,phone : (512) 366-3084,website : acceptanceinsurance.com,cuisine_type : Insurance,number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : On Command Video,phone : (512) 326-8316,website : NA,cuisine_type : NA,number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : LB&B Associates,phone : (512) 443-0970,website : NA,cuisine_type : NA,number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : Texas Monthly Magazine,phone : (512) 320-6900,website : texasmonthly.com,cuisine_type : Print Media,number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : Creative Consumer Research,phone : (512) 462-7288,website : NA,cuisine_type : NA,number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : Maid For You,phone : (512) 345-8530,website : maidforyouaustin.com,cuisine_type : Home Cleaning,number_of_reviews : 9,avg_review : 3.0,delivery : NA,takeout : NA,caters : NA
name : Austin Photography,phone : (512) 292-9832,website : austinphotography.com,"cuisine_type : Event Photography,Session Photography",number_of_reviews : 1,avg_review : 5.0,delivery : NA,takeout : NA,caters : NA
name : Varsity Pools & Patios,phone : (210) 559-9553,website : varsitypools.com,"cuisine_type : Contractors,Hot Tub & Pool",number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : U S Mortgage Brokers,phone : (512) 485-0915,website : NA,cuisine_type : Mortgage Brokers,number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : Park Lane Villas,phone : (512) 444-7555,website : NA,cuisine_type : NA,number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : Patrick Hatton-Re/Max,phone : (512) 800-0011,website : buysellbyhatton.com,cuisine_type : Real Estate Agents,number_of_reviews : 1,avg_review : 5.0,delivery : NA,takeout : NA,caters : NA
name : Dog and Moustache,phone : (210) 262-0870,website : dandmdetailing.com,"cuisine_type : Auto Detailing,Car Wash",number_of_reviews : 1,avg_review : 5.0,delivery : NA,takeout : NA,caters : NA
name : Adkins Bee Removal,phone : (512) 686-2374,website : adkinsbeeremoval.com,cuisine_type : Pest Control,number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : AmeriTex Concrete,phone : (512) 608-8604,website : ameritexcc.com,"cuisine_type : Contractor,Flooring",number_of_reviews : 1,avg_review : 1.0,delivery : NA,takeout : NA,caters : NA
name : James P Morgan & Partners LLC,phone : (888) 400-1249,website : Jamespmorgan.partners,cuisine_type : Professional Services,number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : State Farm New Accounts,phone : (512) 599-9756,website : NA,"cuisine_type : Health Insurance Offices,Life Insurance",number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : AC Nerds,phone : (512) 293-7820,website : acnerdstx.com,cuisine_type : Heating & Air Conditioning/HVAC,number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : The General Auto Insurance,phone : (512) 599-9757,website : NA,cuisine_type : Auto Insurance,number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : Anthem Blue Cross Blue Shield,phone : (512) 599-9750,website : NA,cuisine_type : Insurance,number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : CellSavers,phone : (855) 256-3709,website : cellsavers.com,cuisine_type : Mobile Phone Repair,number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : Suzy Jurcevic Voiceovers,phone : (310) 929-5960,website : suzyjurcevic.com,cuisine_type : Music Production Services,number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : Four Points Home Care,phone : (512) 633-9180,website : fourpointshomecare.weebly.com,"cuisine_type : Pool Cleaners,Landscaping",number_of_reviews : 1,avg_review : 1.0,delivery : NA,takeout : NA,caters : NA
name : Miss Purdy’s Old Time Photos & Western Prop Rental,phone : (214) 514-7149,website : misspurdys.com,"cuisine_type : Photographers,Party Equipment Rentals",number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : AARP Senior Employment Services,phone : (512) 599-9755,website : NA,cuisine_type : Insurance,number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : Aetna,phone : (512) 599-9748,website : NA,cuisine_type : Insurance,number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : Painting Solutions By Arch,phone : (512) 689-7504,website : NA,cuisine_type : Painters,number_of_reviews : 1,avg_review : 1.0,delivery : NA,takeout : NA,caters : NA
name : Thomas Petroleum,phone : (361) 387-7275,website : NA,cuisine_type : NA,number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : TapSnap 1039,phone : (210) 610-2568,website : tapsnap1039.com,"cuisine_type : Event Photography,Photo Booth Rentals",number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : Northstar Moving & staorage,phone : (800) 275-7767,website : NorthStarMoving.com,cuisine_type : Moving,number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : ReVive!,phone : (512) 744-4841,website : wyndham.com/hotels/AUSWC/dini…,"cuisine_type : Burgers,Traditional American",number_of_reviews : 18,avg_review : 3.0,delivery : No,takeout : Yes,caters : Yes
name : Stinson’s Bistro University Park,phone : (512) 948-8383,website : stinsonsbistro.com,"cuisine_type : Coffee & Tea,American (New)",number_of_reviews : 4,avg_review : 4.5,delivery : No,takeout : Yes,caters : No
name : Wyndham Garden Hotel & Woodward Conference Center,phone : (888) 595-9874,website : Wyndham.com/Austin,cuisine_type : Hotels,number_of_reviews : 99,avg_review : 3.5,delivery : NA,takeout : NA,caters : NA
name : The Home Depot,phone : (512) 693-9811,website : homedepot.com,"cuisine_type : Hardware Stores,Nurseries & Gardening,Appliances",number_of_reviews : 51,avg_review : 3.0,delivery : NA,takeout : NA,caters : NA
name : Pour House Pints And Pies,phone : (512) 270-4740,website : pourhousepintsandpies.com,"cuisine_type : Pizza,Pub",number_of_reviews : 242,avg_review : 4.0,delivery : No,takeout : Yes,caters : Yes
name : Acupuncture Plus,phone : (512) 453-5352,website : austinchinesedoctors.com,cuisine_type : Acupuncture,number_of_reviews : 31,avg_review : 4.5,delivery : NA,takeout : NA,caters : NA
name : Jollyville Pediatrics,phone : (512) 219-5550,website : jollyvillepediatrics.com,cuisine_type : Pediatricians,number_of_reviews : 21,avg_review : 4.5,delivery : NA,takeout : NA,caters : NA
name : CPU -  Computer Professionals Unlimited,phone : (512) 351-7841,website : NA,"cuisine_type : IT Services & Computer Repair,Web Design",number_of_reviews : 28,avg_review : 4.5,delivery : NA,takeout : NA,caters : NA
name : CPR Resources,phone : (512) 292-3130,website : cpr-resources.com,cuisine_type : CPR Classes,number_of_reviews : 9,avg_review : 5.0,delivery : NA,takeout : NA,caters : NA
name : Sonic Drive-in,phone : (512) 331-6800,website : sonicdrivein.com,"cuisine_type : Fast Food,Burgers",number_of_reviews : 22,avg_review : 2.5,delivery : No,takeout : Yes,caters : No
name : Arbor Foot Health Center,phone : (512) 335-1800,website : arborfoot.com,cuisine_type : Podiatrists,number_of_reviews : 14,avg_review : 4.0,delivery : NA,takeout : NA,caters : NA
"name : Fred Wilbur, DDS",phone : (512) 258-4144,website : wilburdental.net,cuisine_type : General Dentistry,number_of_reviews : 6,avg_review : 5.0,delivery : NA,takeout : NA,caters : NA
name : Silver Screen Dental,phone : (512) 345-8800,website : SilverScreenDental.com,"cuisine_type : General Dentistry,Cosmetic Dentists",number_of_reviews : 18,avg_review : 4.5,delivery : NA,takeout : NA,caters : NA
